air_temp,dni,ghi,period_end,period
15,0,0,2023-01-01T00:05:00+00:00,PT5M
15,0,0,2023-01-01T00:10:00+00:00,PT5M
15,0,0,2023-01-01T00:15:00+00:00,PT5M
15,0,0,2023-01-01T00:20:00+00:00,PT5M
15,0,0,2023-01-01T00:25:00+00:00,PT5M
15,0,0,2023-01-01T00:30:00+00:00,PT5M
15,0,0,2023-01-01T00:35:00+00:00,PT5M
15,0,0,2023-01-01T00:40:00+00:00,PT5M
15,0,0,2023-01-01T00:45:00+00:00,PT5M
14,0,0,2023-01-01T00:50:00+00:00,PT5M
14,0,0,2023-01-01T00:55:00+00:00,PT5M
14,0,0,2023-01-01T01:00:00+00:00,PT5M
14,0,0,2023-01-01T01:05:00+00:00,PT5M
14,0,0,2023-01-01T01:10:00+00:00,PT5M
14,0,0,2023-01-01T01:15:00+00:00,PT5M
14,0,0,2023-01-01T01:20:00+00:00,PT5M
14,0,0,2023-01-01T01:25:00+00:00,PT5M
14,0,0,2023-01-01T01:30:00+00:00,PT5M
14,0,0,2023-01-01T01:35:00+00:00,PT5M
14,0,0,2023-01-01T01:40:00+00:00,PT5M
14,0,0,2023-01-01T01:45:00+00:00,PT5M
14,0,0,2023-01-01T01:50:00+00:00,PT5M
14,0,0,2023-01-01T01:55:00+00:00,PT5M
14,0,0,2023-01-01T02:00:00+00:00,PT5M
14,0,0,2023-01-01T02:05:00+00:00,PT5M
14,0,0,2023-01-01T02:10:00+00:00,PT5M
14,0,0,2023-01-01T02:15:00+00:00,PT5M
14,0,0,2023-01-01T02:20:00+00:00,PT5M
14,0,0,2023-01-01T02:25:00+00:00,PT5M
14,0,0,2023-01-01T02:30:00+00:00,PT5M
15,0,0,2023-01-01T02:35:00+00:00,PT5M
15,0,0,2023-01-01T02:40:00+00:00,PT5M
15,0,0,2023-01-01T02:45:00+00:00,PT5M
15,0,0,2023-01-01T02:50:00+00:00,PT5M
15,0,0,2023-01-01T02:55:00+00:00,PT5M
15,0,0,2023-01-01T03:00:00+00:00,PT5M
15,0,0,2023-01-01T03:05:00+00:00,PT5M
15,0,0,2023-01-01T03:10:00+00:00,PT5M
15,0,0,2023-01-01T03:15:00+00:00,PT5M
15,0,0,2023-01-01T03:20:00+00:00,PT5M
15,0,0,2023-01-01T03:25:00+00:00,PT5M
15,0,3,2023-01-01T03:30:00+00:00,PT5M
15,0,10,2023-01-01T03:35:00+00:00,PT5M
15,0,22,2023-01-01T03:40:00+00:00,PT5M
15,0,26,2023-01-01T03:45:00+00:00,PT5M
15,0,26,2023-01-01T03:50:00+00:00,PT5M
15,0,32,2023-01-01T03:55:00+00:00,PT5M
15,0,30,2023-01-01T04:00:00+00:00,PT5M
15,0,30,2023-01-01T04:05:00+00:00,PT5M
15,0,29,2023-01-01T04:10:00+00:00,PT5M
15,0,25,2023-01-01T04:15:00+00:00,PT5M
15,0,27,2023-01-01T04:20:00+00:00,PT5M
15,0,31,2023-01-01T04:25:00+00:00,PT5M
15,0,35,2023-01-01T04:30:00+00:00,PT5M
15,0,37,2023-01-01T04:35:00+00:00,PT5M
15,0,35,2023-01-01T04:40:00+00:00,PT5M
15,0,38,2023-01-01T04:45:00+00:00,PT5M
15,0,40,2023-01-01T04:50:00+00:00,PT5M
15,0,38,2023-01-01T04:55:00+00:00,PT5M
15,0,44,2023-01-01T05:00:00+00:00,PT5M
15,0,45,2023-01-01T05:05:00+00:00,PT5M
15,0,45,2023-01-01T05:10:00+00:00,PT5M
15,0,48,2023-01-01T05:15:00+00:00,PT5M
16,0,54,2023-01-01T05:20:00+00:00,PT5M
16,0,57,2023-01-01T05:25:00+00:00,PT5M
16,0,67,2023-01-01T05:30:00+00:00,PT5M
16,0,77,2023-01-01T05:35:00+00:00,PT5M
16,0,88,2023-01-01T05:40:00+00:00,PT5M
16,0,100,2023-01-01T05:45:00+00:00,PT5M
16,0,113,2023-01-01T05:50:00+00:00,PT5M
16,0,128,2023-01-01T05:55:00+00:00,PT5M
16,0,148,2023-01-01T06:00:00+00:00,PT5M
16,0,165,2023-01-01T06:05:00+00:00,PT5M
16,0,188,2023-01-01T06:10:00+00:00,PT5M
17,0,205,2023-01-01T06:15:00+00:00,PT5M
17,0,222,2023-01-01T06:20:00+00:00,PT5M
17,0,239,2023-01-01T06:25:00+00:00,PT5M
17,0,258,2023-01-01T06:30:00+00:00,PT5M
17,0,270,2023-01-01T06:35:00+00:00,PT5M
17,0,289,2023-01-01T06:40:00+00:00,PT5M
17,0,316,2023-01-01T06:45:00+00:00,PT5M
17,0,329,2023-01-01T06:50:00+00:00,PT5M
17,0,350,2023-01-01T06:55:00+00:00,PT5M
17,0,378,2023-01-01T07:00:00+00:00,PT5M
18,0,424,2023-01-01T07:05:00+00:00,PT5M
18,0,462,2023-01-01T07:10:00+00:00,PT5M
18,6,493,2023-01-01T07:15:00+00:00,PT5M
18,70,534,2023-01-01T07:20:00+00:00,PT5M
18,119,567,2023-01-01T07:25:00+00:00,PT5M
18,171,600,2023-01-01T07:30:00+00:00,PT5M
18,181,613,2023-01-01T07:35:00+00:00,PT5M
18,236,647,2023-01-01T07:40:00+00:00,PT5M
18,196,639,2023-01-01T07:45:00+00:00,PT5M
18,138,620,2023-01-01T07:50:00+00:00,PT5M
19,143,631,2023-01-01T07:55:00+00:00,PT5M
19,147,641,2023-01-01T08:00:00+00:00,PT5M
19,152,651,2023-01-01T08:05:00+00:00,PT5M
19,177,671,2023-01-01T08:10:00+00:00,PT5M
19,161,670,2023-01-01T08:15:00+00:00,PT5M
19,125,659,2023-01-01T08:20:00+00:00,PT5M
19,72,636,2023-01-01T08:25:00+00:00,PT5M
19,69,640,2023-01-01T08:30:00+00:00,PT5M
19,102,665,2023-01-01T08:35:00+00:00,PT5M
19,42,636,2023-01-01T08:40:00+00:00,PT5M
20,20,628,2023-01-01T08:45:00+00:00,PT5M
20,69,663,2023-01-01T08:50:00+00:00,PT5M
20,65,666,2023-01-01T08:55:00+00:00,PT5M
20,42,656,2023-01-01T09:00:00+00:00,PT5M
20,19,646,2023-01-01T09:05:00+00:00,PT5M
20,15,648,2023-01-01T09:10:00+00:00,PT5M
20,30,661,2023-01-01T09:15:00+00:00,PT5M
20,10,652,2023-01-01T09:20:00+00:00,PT5M
20,26,665,2023-01-01T09:25:00+00:00,PT5M
20,23,666,2023-01-01T09:30:00+00:00,PT5M
20,3,656,2023-01-01T09:35:00+00:00,PT5M
20,2,657,2023-01-01T09:40:00+00:00,PT5M
20,0,646,2023-01-01T09:45:00+00:00,PT5M
20,0,646,2023-01-01T09:50:00+00:00,PT5M
21,0,622,2023-01-01T09:55:00+00:00,PT5M
21,0,588,2023-01-01T10:00:00+00:00,PT5M
21,0,624,2023-01-01T10:05:00+00:00,PT5M
21,0,543,2023-01-01T10:10:00+00:00,PT5M
21,0,566,2023-01-01T10:15:00+00:00,PT5M
21,0,659,2023-01-01T10:20:00+00:00,PT5M
21,0,600,2023-01-01T10:25:00+00:00,PT5M
21,0,646,2023-01-01T10:30:00+00:00,PT5M
21,70,706,2023-01-01T10:35:00+00:00,PT5M
21,34,681,2023-01-01T10:40:00+00:00,PT5M
21,0,621,2023-01-01T10:45:00+00:00,PT5M
21,0,586,2023-01-01T10:50:00+00:00,PT5M
21,0,519,2023-01-01T10:55:00+00:00,PT5M
21,0,585,2023-01-01T11:00:00+00:00,PT5M
21,0,507,2023-01-01T11:05:00+00:00,PT5M
21,0,474,2023-01-01T11:10:00+00:00,PT5M
21,0,494,2023-01-01T11:15:00+00:00,PT5M
21,0,535,2023-01-01T11:20:00+00:00,PT5M
21,0,514,2023-01-01T11:25:00+00:00,PT5M
21,0,513,2023-01-01T11:30:00+00:00,PT5M
21,0,502,2023-01-01T11:35:00+00:00,PT5M
21,0,491,2023-01-01T11:40:00+00:00,PT5M
21,0,479,2023-01-01T11:45:00+00:00,PT5M
21,0,448,2023-01-01T11:50:00+00:00,PT5M
21,0,516,2023-01-01T11:55:00+00:00,PT5M
21,0,445,2023-01-01T12:00:00+00:00,PT5M
21,0,423,2023-01-01T12:05:00+00:00,PT5M
21,0,454,2023-01-01T12:10:00+00:00,PT5M
21,0,400,2023-01-01T12:15:00+00:00,PT5M
21,0,384,2023-01-01T12:20:00+00:00,PT5M
21,0,423,2023-01-01T12:25:00+00:00,PT5M
21,0,362,2023-01-01T12:30:00+00:00,PT5M
21,0,337,2023-01-01T12:35:00+00:00,PT5M
21,0,339,2023-01-01T12:40:00+00:00,PT5M
21,0,275,2023-01-01T12:45:00+00:00,PT5M
21,0,229,2023-01-01T12:50:00+00:00,PT5M
21,0,177,2023-01-01T12:55:00+00:00,PT5M
21,0,130,2023-01-01T13:00:00+00:00,PT5M
21,0,119,2023-01-01T13:05:00+00:00,PT5M
20,0,96,2023-01-01T13:10:00+00:00,PT5M
20,0,92,2023-01-01T13:15:00+00:00,PT5M
20,0,83,2023-01-01T13:20:00+00:00,PT5M
20,0,74,2023-01-01T13:25:00+00:00,PT5M
20,0,76,2023-01-01T13:30:00+00:00,PT5M
20,0,81,2023-01-01T13:35:00+00:00,PT5M
20,0,60,2023-01-01T13:40:00+00:00,PT5M
19,0,56,2023-01-01T13:45:00+00:00,PT5M
19,0,61,2023-01-01T13:50:00+00:00,PT5M
19,0,53,2023-01-01T13:55:00+00:00,PT5M
19,0,47,2023-01-01T14:00:00+00:00,PT5M
19,0,47,2023-01-01T14:05:00+00:00,PT5M
19,0,38,2023-01-01T14:10:00+00:00,PT5M
19,0,38,2023-01-01T14:15:00+00:00,PT5M
19,0,36,2023-01-01T14:20:00+00:00,PT5M
19,0,34,2023-01-01T14:25:00+00:00,PT5M
18,0,35,2023-01-01T14:30:00+00:00,PT5M
18,0,37,2023-01-01T14:35:00+00:00,PT5M
18,0,37,2023-01-01T14:40:00+00:00,PT5M
18,0,42,2023-01-01T14:45:00+00:00,PT5M
18,0,46,2023-01-01T14:50:00+00:00,PT5M
18,0,39,2023-01-01T14:55:00+00:00,PT5M
18,0,45,2023-01-01T15:00:00+00:00,PT5M
18,0,49,2023-01-01T15:05:00+00:00,PT5M
18,0,50,2023-01-01T15:10:00+00:00,PT5M
18,0,51,2023-01-01T15:15:00+00:00,PT5M
18,0,52,2023-01-01T15:20:00+00:00,PT5M
18,0,42,2023-01-01T15:25:00+00:00,PT5M
18,0,42,2023-01-01T15:30:00+00:00,PT5M
18,0,42,2023-01-01T15:35:00+00:00,PT5M
18,0,37,2023-01-01T15:40:00+00:00,PT5M
18,0,41,2023-01-01T15:45:00+00:00,PT5M
18,0,41,2023-01-01T15:50:00+00:00,PT5M
18,0,42,2023-01-01T15:55:00+00:00,PT5M
18,0,42,2023-01-01T16:00:00+00:00,PT5M
18,0,45,2023-01-01T16:05:00+00:00,PT5M
18,0,42,2023-01-01T16:10:00+00:00,PT5M
18,0,40,2023-01-01T16:15:00+00:00,PT5M
18,0,35,2023-01-01T16:20:00+00:00,PT5M
17,0,32,2023-01-01T16:25:00+00:00,PT5M
17,0,29,2023-01-01T16:30:00+00:00,PT5M
17,0,26,2023-01-01T16:35:00+00:00,PT5M
17,0,24,2023-01-01T16:40:00+00:00,PT5M
17,0,20,2023-01-01T16:45:00+00:00,PT5M
17,0,11,2023-01-01T16:50:00+00:00,PT5M
17,0,5,2023-01-01T16:55:00+00:00,PT5M
17,0,1,2023-01-01T17:00:00+00:00,PT5M
17,0,0,2023-01-01T17:05:00+00:00,PT5M
17,0,0,2023-01-01T17:10:00+00:00,PT5M
17,0,0,2023-01-01T17:15:00+00:00,PT5M
16,0,0,2023-01-01T17:20:00+00:00,PT5M
16,0,0,2023-01-01T17:25:00+00:00,PT5M
16,0,0,2023-01-01T17:30:00+00:00,PT5M
16,0,0,2023-01-01T17:35:00+00:00,PT5M
16,0,0,2023-01-01T17:40:00+00:00,PT5M
16,0,0,2023-01-01T17:45:00+00:00,PT5M
16,0,0,2023-01-01T17:50:00+00:00,PT5M
16,0,0,2023-01-01T17:55:00+00:00,PT5M
16,0,0,2023-01-01T18:00:00+00:00,PT5M
16,0,0,2023-01-01T18:05:00+00:00,PT5M
16,0,0,2023-01-01T18:10:00+00:00,PT5M
16,0,0,2023-01-01T18:15:00+00:00,PT5M
16,0,0,2023-01-01T18:20:00+00:00,PT5M
16,0,0,2023-01-01T18:25:00+00:00,PT5M
16,0,0,2023-01-01T18:30:00+00:00,PT5M
16,0,0,2023-01-01T18:35:00+00:00,PT5M
16,0,0,2023-01-01T18:40:00+00:00,PT5M
16,0,0,2023-01-01T18:45:00+00:00,PT5M
16,0,0,2023-01-01T18:50:00+00:00,PT5M
16,0,0,2023-01-01T18:55:00+00:00,PT5M
16,0,0,2023-01-01T19:00:00+00:00,PT5M
16,0,0,2023-01-01T19:05:00+00:00,PT5M
16,0,0,2023-01-01T19:10:00+00:00,PT5M
16,0,0,2023-01-01T19:15:00+00:00,PT5M
16,0,0,2023-01-01T19:20:00+00:00,PT5M
16,0,0,2023-01-01T19:25:00+00:00,PT5M
15,0,0,2023-01-01T19:30:00+00:00,PT5M
15,0,0,2023-01-01T19:35:00+00:00,PT5M
15,0,0,2023-01-01T19:40:00+00:00,PT5M
15,0,0,2023-01-01T19:45:00+00:00,PT5M
15,0,0,2023-01-01T19:50:00+00:00,PT5M
15,0,0,2023-01-01T19:55:00+00:00,PT5M
15,0,0,2023-01-01T20:00:00+00:00,PT5M
15,0,0,2023-01-01T20:05:00+00:00,PT5M
15,0,0,2023-01-01T20:10:00+00:00,PT5M
15,0,0,2023-01-01T20:15:00+00:00,PT5M
15,0,0,2023-01-01T20:20:00+00:00,PT5M
15,0,0,2023-01-01T20:25:00+00:00,PT5M
15,0,0,2023-01-01T20:30:00+00:00,PT5M
15,0,0,2023-01-01T20:35:00+00:00,PT5M
15,0,0,2023-01-01T20:40:00+00:00,PT5M
15,0,0,2023-01-01T20:45:00+00:00,PT5M
15,0,0,2023-01-01T20:50:00+00:00,PT5M
14,0,0,2023-01-01T20:55:00+00:00,PT5M
14,0,0,2023-01-01T21:00:00+00:00,PT5M
14,0,0,2023-01-01T21:05:00+00:00,PT5M
14,0,0,2023-01-01T21:10:00+00:00,PT5M
14,0,0,2023-01-01T21:15:00+00:00,PT5M
14,0,0,2023-01-01T21:20:00+00:00,PT5M
14,0,0,2023-01-01T21:25:00+00:00,PT5M
14,0,0,2023-01-01T21:30:00+00:00,PT5M
14,0,0,2023-01-01T21:35:00+00:00,PT5M
14,0,0,2023-01-01T21:40:00+00:00,PT5M
14,0,0,2023-01-01T21:45:00+00:00,PT5M
14,0,0,2023-01-01T21:50:00+00:00,PT5M
14,0,0,2023-01-01T21:55:00+00:00,PT5M
14,0,0,2023-01-01T22:00:00+00:00,PT5M
14,0,0,2023-01-01T22:05:00+00:00,PT5M
14,0,0,2023-01-01T22:10:00+00:00,PT5M
14,0,0,2023-01-01T22:15:00+00:00,PT5M
14,0,0,2023-01-01T22:20:00+00:00,PT5M
14,0,0,2023-01-01T22:25:00+00:00,PT5M
14,0,0,2023-01-01T22:30:00+00:00,PT5M
14,0,0,2023-01-01T22:35:00+00:00,PT5M
14,0,0,2023-01-01T22:40:00+00:00,PT5M
14,0,0,2023-01-01T22:45:00+00:00,PT5M
14,0,0,2023-01-01T22:50:00+00:00,PT5M
14,0,0,2023-01-01T22:55:00+00:00,PT5M
15,0,0,2023-01-01T23:00:00+00:00,PT5M
14,0,0,2023-01-01T23:05:00+00:00,PT5M
14,0,0,2023-01-01T23:10:00+00:00,PT5M
14,0,0,2023-01-01T23:15:00+00:00,PT5M
14,0,0,2023-01-01T23:20:00+00:00,PT5M
14,0,0,2023-01-01T23:25:00+00:00,PT5M
14,0,0,2023-01-01T23:30:00+00:00,PT5M
14,0,0,2023-01-01T23:35:00+00:00,PT5M
14,0,0,2023-01-01T23:40:00+00:00,PT5M
14,0,0,2023-01-01T23:45:00+00:00,PT5M
14,0,0,2023-01-01T23:50:00+00:00,PT5M
13,0,0,2023-01-01T23:55:00+00:00,PT5M
13,0,0,2023-01-02T00:00:00+00:00,PT5M
13,0,0,2023-01-02T00:05:00+00:00,PT5M
13,0,0,2023-01-02T00:10:00+00:00,PT5M
13,0,0,2023-01-02T00:15:00+00:00,PT5M
13,0,0,2023-01-02T00:20:00+00:00,PT5M
13,0,0,2023-01-02T00:25:00+00:00,PT5M
13,0,0,2023-01-02T00:30:00+00:00,PT5M
13,0,0,2023-01-02T00:35:00+00:00,PT5M
13,0,0,2023-01-02T00:40:00+00:00,PT5M
13,0,0,2023-01-02T00:45:00+00:00,PT5M
13,0,0,2023-01-02T00:50:00+00:00,PT5M
13,0,0,2023-01-02T00:55:00+00:00,PT5M
13,0,0,2023-01-02T01:00:00+00:00,PT5M
13,0,0,2023-01-02T01:05:00+00:00,PT5M
13,0,0,2023-01-02T01:10:00+00:00,PT5M
13,0,0,2023-01-02T01:15:00+00:00,PT5M
13,0,0,2023-01-02T01:20:00+00:00,PT5M
13,0,0,2023-01-02T01:25:00+00:00,PT5M
13,0,0,2023-01-02T01:30:00+00:00,PT5M
13,0,0,2023-01-02T01:35:00+00:00,PT5M
13,0,0,2023-01-02T01:40:00+00:00,PT5M
13,0,0,2023-01-02T01:45:00+00:00,PT5M
13,0,0,2023-01-02T01:50:00+00:00,PT5M
13,0,0,2023-01-02T01:55:00+00:00,PT5M
13,0,0,2023-01-02T02:00:00+00:00,PT5M
13,0,0,2023-01-02T02:05:00+00:00,PT5M
13,0,0,2023-01-02T02:10:00+00:00,PT5M
13,0,0,2023-01-02T02:15:00+00:00,PT5M
13,0,0,2023-01-02T02:20:00+00:00,PT5M
13,0,0,2023-01-02T02:25:00+00:00,PT5M
13,0,0,2023-01-02T02:30:00+00:00,PT5M
13,0,0,2023-01-02T02:35:00+00:00,PT5M
13,0,0,2023-01-02T02:40:00+00:00,PT5M
13,0,0,2023-01-02T02:45:00+00:00,PT5M
13,0,0,2023-01-02T02:50:00+00:00,PT5M
13,0,0,2023-01-02T02:55:00+00:00,PT5M
13,0,0,2023-01-02T03:00:00+00:00,PT5M
13,0,0,2023-01-02T03:05:00+00:00,PT5M
13,0,0,2023-01-02T03:10:00+00:00,PT5M
13,0,0,2023-01-02T03:15:00+00:00,PT5M
13,0,0,2023-01-02T03:20:00+00:00,PT5M
13,0,0,2023-01-02T03:25:00+00:00,PT5M
13,5,5,2023-01-02T03:30:00+00:00,PT5M
13,25,15,2023-01-02T03:35:00+00:00,PT5M
13,65,25,2023-01-02T03:40:00+00:00,PT5M
13,126,37,2023-01-02T03:45:00+00:00,PT5M
13,205,49,2023-01-02T03:50:00+00:00,PT5M
13,257,63,2023-01-02T03:55:00+00:00,PT5M
13,300,78,2023-01-02T04:00:00+00:00,PT5M
13,340,94,2023-01-02T04:05:00+00:00,PT5M
14,378,111,2023-01-02T04:10:00+00:00,PT5M
14,414,128,2023-01-02T04:15:00+00:00,PT5M
14,447,146,2023-01-02T04:20:00+00:00,PT5M
14,478,165,2023-01-02T04:25:00+00:00,PT5M
14,507,184,2023-01-02T04:30:00+00:00,PT5M
