air_temp,ghi,period_end,period
15,0,2023-01-01T01:00:00+00:00,PT60M
14,0,2023-01-01T02:00:00+00:00,PT60M
14,0,2023-01-01T03:00:00+00:00,PT60M
15,12,2023-01-01T04:00:00+00:00,PT60M
15,34,2023-01-01T05:00:00+00:00,PT60M
16,81,2023-01-01T06:00:00+00:00,PT60M
17,267,2023-01-01T07:00:00+00:00,PT60M
18,573,2023-01-01T08:00:00+00:00,PT60M
19,654,2023-01-01T09:00:00+00:00,PT60M
20,646,2023-01-01T10:00:00+00:00,PT60M
21,611,2023-01-01T11:00:00+00:00,PT60M
21,493,2023-01-01T12:00:00+00:00,PT60M
21,328,2023-01-01T13:00:00+00:00,PT60M
20,75,2023-01-01T14:00:00+00:00,PT60M
18,40,2023-01-01T15:00:00+00:00,PT60M
18,44,2023-01-01T16:00:00+00:00,PT60M
17,26,2023-01-01T17:00:00+00:00,PT60M
16,0,2023-01-01T18:00:00+00:00,PT60M
16,0,2023-01-01T19:00:00+00:00,PT60M
15,0,2023-01-01T20:00:00+00:00,PT60M
15,0,2023-01-01T21:00:00+00:00,PT60M
14,0,2023-01-01T22:00:00+00:00,PT60M
14,0,2023-01-01T23:00:00+00:00,PT60M
14,0,2023-01-02T00:00:00+00:00,PT60M
13,0,2023-01-02T01:00:00+00:00,PT60M
13,0,2023-01-02T02:00:00+00:00,PT60M
13,0,2023-01-02T03:00:00+00:00,PT60M
13,23,2023-01-02T04:00:00+00:00,PT60M
14,195,2023-01-02T05:00:00+00:00,PT60M
16,434,2023-01-02T06:00:00+00:00,PT60M
18,666,2023-01-02T07:00:00+00:00,PT60M
21,860,2023-01-02T08:00:00+00:00,PT60M
22,972,2023-01-02T09:00:00+00:00,PT60M
23,977,2023-01-02T10:00:00+00:00,PT60M
24,944,2023-01-02T11:00:00+00:00,PT60M
24,459,2023-01-02T12:00:00+00:00,PT60M
24,522,2023-01-02T13:00:00+00:00,PT60M
25,639,2023-01-02T14:00:00+00:00,PT60M
25,511,2023-01-02T15:00:00+00:00,PT60M
24,287,2023-01-02T16:00:00+00:00,PT60M
23,73,2023-01-02T17:00:00+00:00,PT60M
21,0,2023-01-02T18:00:00+00:00,PT60M
19,0,2023-01-02T19:00:00+00:00,PT60M
18,0,2023-01-02T20:00:00+00:00,PT60M
17,0,2023-01-02T21:00:00+00:00,PT60M
17,0,2023-01-02T22:00:00+00:00,PT60M
16,0,2023-01-02T23:00:00+00:00,PT60M
16,0,2023-01-03T00:00:00+00:00,PT60M
15,0,2023-01-03T01:00:00+00:00,PT60M
15,0,2023-01-03T02:00:00+00:00,PT60M
15,0,2023-01-03T03:00:00+00:00,PT60M
16,22,2023-01-03T04:00:00+00:00,PT60M
17,196,2023-01-03T05:00:00+00:00,PT60M
19,429,2023-01-03T06:00:00+00:00,PT60M
21,632,2023-01-03T07:00:00+00:00,PT60M
22,760,2023-01-03T08:00:00+00:00,PT60M
23,958,2023-01-03T09:00:00+00:00,PT60M
24,1058,2023-01-03T10:00:00+00:00,PT60M
24,1039,2023-01-03T11:00:00+00:00,PT60M
25,1004,2023-01-03T12:00:00+00:00,PT60M
25,881,2023-01-03T13:00:00+00:00,PT60M
26,728,2023-01-03T14:00:00+00:00,PT60M
26,502,2023-01-03T15:00:00+00:00,PT60M
25,105,2023-01-03T16:00:00+00:00,PT60M
23,14,2023-01-03T17:00:00+00:00,PT60M
21,0,2023-01-03T18:00:00+00:00,PT60M
20,0,2023-01-03T19:00:00+00:00,PT60M
19,0,2023-01-03T20:00:00+00:00,PT60M
18,0,2023-01-03T21:00:00+00:00,PT60M
17,0,2023-01-03T22:00:00+00:00,PT60M
17,0,2023-01-03T23:00:00+00:00,PT60M
16,0,2023-01-04T00:00:00+00:00,PT60M
17,0,2023-01-04T01:00:00+00:00,PT60M
17,0,2023-01-04T02:00:00+00:00,PT60M
18,0,2023-01-04T03:00:00+00:00,PT60M
18,21,2023-01-04T04:00:00+00:00,PT60M
19,188,2023-01-04T05:00:00+00:00,PT60M
21,424,2023-01-04T06:00:00+00:00,PT60M
22,655,2023-01-04T07:00:00+00:00,PT60M
23,853,2023-01-04T08:00:00+00:00,PT60M
24,1000,2023-01-04T09:00:00+00:00,PT60M
25,1076,2023-01-04T10:00:00+00:00,PT60M
26,1002,2023-01-04T11:00:00+00:00,PT60M
26,992,2023-01-04T12:00:00+00:00,PT60M
25,765,2023-01-04T13:00:00+00:00,PT60M
25,412,2023-01-04T14:00:00+00:00,PT60M
24,253,2023-01-04T15:00:00+00:00,PT60M
23,240,2023-01-04T16:00:00+00:00,PT60M
23,70,2023-01-04T17:00:00+00:00,PT60M
22,0,2023-01-04T18:00:00+00:00,PT60M
20,0,2023-01-04T19:00:00+00:00,PT60M
19,0,2023-01-04T20:00:00+00:00,PT60M
19,0,2023-01-04T21:00:00+00:00,PT60M
18,0,2023-01-04T22:00:00+00:00,PT60M
17,0,2023-01-04T23:00:00+00:00,PT60M
17,0,2023-01-05T00:00:00+00:00,PT60M
17,0,2023-01-05T01:00:00+00:00,PT60M
17,0,2023-01-05T02:00:00+00:00,PT60M
17,0,2023-01-05T03:00:00+00:00,PT60M
17,8,2023-01-05T04:00:00+00:00,PT60M
17,33,2023-01-05T05:00:00+00:00,PT60M
17,58,2023-01-05T06:00:00+00:00,PT60M
18,178,2023-01-05T07:00:00+00:00,PT60M
19,435,2023-01-05T08:00:00+00:00,PT60M
20,592,2023-01-05T09:00:00+00:00,PT60M
21,454,2023-01-05T10:00:00+00:00,PT60M
22,429,2023-01-05T11:00:00+00:00,PT60M
23,949,2023-01-05T12:00:00+00:00,PT60M
23,432,2023-01-05T13:00:00+00:00,PT60M
23,134,2023-01-05T14:00:00+00:00,PT60M
23,326,2023-01-05T15:00:00+00:00,PT60M
22,63,2023-01-05T16:00:00+00:00,PT60M
20,16,2023-01-05T17:00:00+00:00,PT60M
19,0,2023-01-05T18:00:00+00:00,PT60M
18,0,2023-01-05T19:00:00+00:00,PT60M
17,0,2023-01-05T20:00:00+00:00,PT60M
17,0,2023-01-05T21:00:00+00:00,PT60M
17,0,2023-01-05T22:00:00+00:00,PT60M
17,0,2023-01-05T23:00:00+00:00,PT60M
17,0,2023-01-06T00:00:00+00:00,PT60M
16,0,2023-01-06T01:00:00+00:00,PT60M
16,0,2023-01-06T02:00:00+00:00,PT60M
16,0,2023-01-06T03:00:00+00:00,PT60M
16,15,2023-01-06T04:00:00+00:00,PT60M
17,163,2023-01-06T05:00:00+00:00,PT60M
18,403,2023-01-06T06:00:00+00:00,PT60M
20,603,2023-01-06T07:00:00+00:00,PT60M
21,717,2023-01-06T08:00:00+00:00,PT60M
22,867,2023-01-06T09:00:00+00:00,PT60M
23,968,2023-01-06T10:00:00+00:00,PT60M
24,958,2023-01-06T11:00:00+00:00,PT60M
24,837,2023-01-06T12:00:00+00:00,PT60M
24,638,2023-01-06T13:00:00+00:00,PT60M
23,552,2023-01-06T14:00:00+00:00,PT60M
22,356,2023-01-06T15:00:00+00:00,PT60M
21,187,2023-01-06T16:00:00+00:00,PT60M
19,46,2023-01-06T17:00:00+00:00,PT60M
18,0,2023-01-06T18:00:00+00:00,PT60M
16,0,2023-01-06T19:00:00+00:00,PT60M
15,0,2023-01-06T20:00:00+00:00,PT60M
15,0,2023-01-06T21:00:00+00:00,PT60M
14,0,2023-01-06T22:00:00+00:00,PT60M
14,0,2023-01-06T23:00:00+00:00,PT60M
13,0,2023-01-07T00:00:00+00:00,PT60M
13,0,2023-01-07T01:00:00+00:00,PT60M
13,0,2023-01-07T02:00:00+00:00,PT60M
13,0,2023-01-07T03:00:00+00:00,PT60M
13,8,2023-01-07T04:00:00+00:00,PT60M
13,77,2023-01-07T05:00:00+00:00,PT60M
15,242,2023-01-07T06:00:00+00:00,PT60M
16,565,2023-01-07T07:00:00+00:00,PT60M
18,713,2023-01-07T08:00:00+00:00,PT60M
20,676,2023-01-07T09:00:00+00:00,PT60M
21,485,2023-01-07T10:00:00+00:00,PT60M
22,583,2023-01-07T11:00:00+00:00,PT60M
23,855,2023-01-07T12:00:00+00:00,PT60M
23,540,2023-01-07T13:00:00+00:00,PT60M
23,362,2023-01-07T14:00:00+00:00,PT60M
23,203,2023-01-07T15:00:00+00:00,PT60M
22,61,2023-01-07T16:00:00+00:00,PT60M
21,27,2023-01-07T17:00:00+00:00,PT60M
19,0,2023-01-07T18:00:00+00:00,PT60M
18,0,2023-01-07T19:00:00+00:00,PT60M
17,0,2023-01-07T20:00:00+00:00,PT60M
16,0,2023-01-07T21:00:00+00:00,PT60M
16,0,2023-01-07T22:00:00+00:00,PT60M
15,0,2023-01-07T23:00:00+00:00,PT60M
15,0,2023-01-08T00:00:00+00:00,PT60M
14,0,2023-01-08T01:00:00+00:00,PT60M
14,0,2023-01-08T02:00:00+00:00,PT60M
14,0,2023-01-08T03:00:00+00:00,PT60M
14,8,2023-01-08T04:00:00+00:00,PT60M
14,58,2023-01-08T05:00:00+00:00,PT60M
16,145,2023-01-08T06:00:00+00:00,PT60M
18,338,2023-01-08T07:00:00+00:00,PT60M
19,570,2023-01-08T08:00:00+00:00,PT60M
19,393,2023-01-08T09:00:00+00:00,PT60M
20,739,2023-01-08T10:00:00+00:00,PT60M
21,935,2023-01-08T11:00:00+00:00,PT60M
22,858,2023-01-08T12:00:00+00:00,PT60M
22,810,2023-01-08T13:00:00+00:00,PT60M
23,705,2023-01-08T14:00:00+00:00,PT60M
22,521,2023-01-08T15:00:00+00:00,PT60M
22,212,2023-01-08T16:00:00+00:00,PT60M
21,65,2023-01-08T17:00:00+00:00,PT60M
18,0,2023-01-08T18:00:00+00:00,PT60M
17,0,2023-01-08T19:00:00+00:00,PT60M
16,0,2023-01-08T20:00:00+00:00,PT60M
16,0,2023-01-08T21:00:00+00:00,PT60M
16,0,2023-01-08T22:00:00+00:00,PT60M
16,0,2023-01-08T23:00:00+00:00,PT60M
16,0,2023-01-09T00:00:00+00:00,PT60M
15,0,2023-01-09T01:00:00+00:00,PT60M
15,0,2023-01-09T02:00:00+00:00,PT60M
15,0,2023-01-09T03:00:00+00:00,PT60M
15,12,2023-01-09T04:00:00+00:00,PT60M
16,131,2023-01-09T05:00:00+00:00,PT60M
18,424,2023-01-09T06:00:00+00:00,PT60M
20,662,2023-01-09T07:00:00+00:00,PT60M
22,865,2023-01-09T08:00:00+00:00,PT60M
23,1015,2023-01-09T09:00:00+00:00,PT60M
24,1081,2023-01-09T10:00:00+00:00,PT60M
26,1064,2023-01-09T11:00:00+00:00,PT60M
27,958,2023-01-09T12:00:00+00:00,PT60M
27,830,2023-01-09T13:00:00+00:00,PT60M
27,713,2023-01-09T14:00:00+00:00,PT60M
27,501,2023-01-09T15:00:00+00:00,PT60M
26,235,2023-01-09T16:00:00+00:00,PT60M
24,62,2023-01-09T17:00:00+00:00,PT60M
22,0,2023-01-09T18:00:00+00:00,PT60M
20,0,2023-01-09T19:00:00+00:00,PT60M
19,0,2023-01-09T20:00:00+00:00,PT60M
18,0,2023-01-09T21:00:00+00:00,PT60M
17,0,2023-01-09T22:00:00+00:00,PT60M
16,0,2023-01-09T23:00:00+00:00,PT60M
16,0,2023-01-10T00:00:00+00:00,PT60M
16,0,2023-01-10T01:00:00+00:00,PT60M
15,0,2023-01-10T02:00:00+00:00,PT60M
16,0,2023-01-10T03:00:00+00:00,PT60M
16,17,2023-01-10T04:00:00+00:00,PT60M
18,179,2023-01-10T05:00:00+00:00,PT60M
21,423,2023-01-10T06:00:00+00:00,PT60M
24,657,2023-01-10T07:00:00+00:00,PT60M
25,857,2023-01-10T08:00:00+00:00,PT60M
26,1007,2023-01-10T09:00:00+00:00,PT60M
27,1084,2023-01-10T10:00:00+00:00,PT60M
28,1041,2023-01-10T11:00:00+00:00,PT60M
29,860,2023-01-10T12:00:00+00:00,PT60M
29,737,2023-01-10T13:00:00+00:00,PT60M
29,677,2023-01-10T14:00:00+00:00,PT60M
29,488,2023-01-10T15:00:00+00:00,PT60M
28,250,2023-01-10T16:00:00+00:00,PT60M
26,71,2023-01-10T17:00:00+00:00,PT60M
23,0,2023-01-10T18:00:00+00:00,PT60M
22,0,2023-01-10T19:00:00+00:00,PT60M
21,0,2023-01-10T20:00:00+00:00,PT60M
20,0,2023-01-10T21:00:00+00:00,PT60M
18,0,2023-01-10T22:00:00+00:00,PT60M
18,0,2023-01-10T23:00:00+00:00,PT60M
17,0,2023-01-11T00:00:00+00:00,PT60M
17,0,2023-01-11T01:00:00+00:00,PT60M
17,0,2023-01-11T02:00:00+00:00,PT60M
17,0,2023-01-11T03:00:00+00:00,PT60M
17,13,2023-01-11T04:00:00+00:00,PT60M
19,135,2023-01-11T05:00:00+00:00,PT60M
22,421,2023-01-11T06:00:00+00:00,PT60M
24,665,2023-01-11T07:00:00+00:00,PT60M
26,866,2023-01-11T08:00:00+00:00,PT60M
27,1015,2023-01-11T09:00:00+00:00,PT60M
28,1102,2023-01-11T10:00:00+00:00,PT60M
29,1112,2023-01-11T11:00:00+00:00,PT60M
30,1036,2023-01-11T12:00:00+00:00,PT60M
30,887,2023-01-11T13:00:00+00:00,PT60M
30,728,2023-01-11T14:00:00+00:00,PT60M
30,534,2023-01-11T15:00:00+00:00,PT60M
29,268,2023-01-11T16:00:00+00:00,PT60M
26,84,2023-01-11T17:00:00+00:00,PT60M
23,0,2023-01-11T18:00:00+00:00,PT60M
21,0,2023-01-11T19:00:00+00:00,PT60M
20,0,2023-01-11T20:00:00+00:00,PT60M
19,0,2023-01-11T21:00:00+00:00,PT60M
18,0,2023-01-11T22:00:00+00:00,PT60M
17,0,2023-01-11T23:00:00+00:00,PT60M
16,0,2023-01-12T00:00:00+00:00,PT60M
15,0,2023-01-12T01:00:00+00:00,PT60M
14,0,2023-01-12T02:00:00+00:00,PT60M
14,0,2023-01-12T03:00:00+00:00,PT60M
